LaneNo,source,target
100,11428_한성여객종점,11387_노원평생학습관
100,11387_노원평생학습관,11374_서울시립북서울미술관
100,11374_서울시립북서울미술관,308_중계역
100,308_중계역,11378_중계3단지목련아파트
100,11378_중계3단지목련아파트,11380_목련아파트상가
100,11380_목련아파트상가,11381_중계목화아파트4단지
100,11381_중계목화아파트4단지,11438_노원경찰서
100,11438_노원경찰서,11436_하계1동주민센터
100,11436_하계1동주민센터,11434_골마을근린공원
100,11434_골마을근린공원,333_하계역
100,333_하계역,11454_하계우성아파트
100,11454_하계우성아파트,11452_하계극동아파트
100,11452_하계극동아파트,11339_월계보건지소
100,11339_월계보건지소,11311_인덕대학
100,11311_인덕대학,11310_월계주공108동앞롯데캐슬루나아파트
100,11310_월계주공108동앞롯데캐슬루나아파트,9186_오현초등학교
100,9186_오현초등학교,9312_꿈의숲주차장입구
100,9312_꿈의숲주차장입구,9187_북서울꿈의숲
100,9187_북서울꿈의숲,9188_송중동한일유엔아이
100,9188_송중동한일유엔아이,9189_창문여고앞
100,9189_창문여고앞,9190_숭곡초등학교입구
100,9190_숭곡초등학교입구,8001_길음2동주민센터
100,8001_길음2동주민센터,8003_길음뉴타운
100,8003_길음뉴타운,8005_미아리고개.미아리예술극장
100,8005_미아리고개.미아리예술극장,8007_돈암사거리.성신여대입구
100,8007_돈암사거리.성신여대입구,8009_삼선교.한성대학교
100,8009_삼선교.한성대학교,1005_혜화동로터리.여운형활동터
100,1005_혜화동로터리.여운형활동터,1003_명륜3가.성대입구
100,1003_명륜3가.성대입구,1002_창경궁.서울대학교병원
100,1002_창경궁.서울대학교병원,1198_원남동
100,1198_원남동,1247_광장시장
100,1247_광장시장,2162_을지로4가
100,2162_을지로4가,2160_을지로3가
100,2160_을지로3가,2158_을지로2가.기업은행본점.서울노동청
100,2158_을지로2가.기업은행본점.서울노동청,2140_롯데백화점
100,2140_롯데백화점,2127_북창동.남대문시장
100,2127_북창동.남대문시장,2008_숭례문
100,2008_숭례문,181_서울역
100,181_서울역,3012_갈월동
100,3012_갈월동,206_숙대입구역
100,206_숙대입구역,160_삼각지역
100,160_삼각지역,3006_용산우체국
100,3006_용산우체국,224_신용산역
100,224_신용산역,3002_한강대교북단.LG유플러스
100,3002_한강대교북단.LG유플러스,3214_이촌동동부센트레빌
100,3214_이촌동동부센트레빌,3216_이촌1동충신교회앞
100,3216_이촌1동충신교회앞,287_이촌역
100,287_이촌역,3220_신용산초등학교.중경고등학교
100,3220_신용산초등학교.중경고등학교,3222_이촌동점보아파트
100,3222_이촌동점보아파트,3224_금강병원.반도아파트
100,3224_금강병원.반도아파트,3226_서빙고신동아아파트
100,3226_서빙고신동아아파트,178_서빙고역
100,178_서빙고역,3155_한강중학교
100,3155_한강중학교,3153_용산구청
100,3153_용산구청,3154_용산구청
100,3154_용산구청,3269_한강중학교
100,3269_한강중학교,3270_금호베스트빌앞
100,3270_금호베스트빌앞,3336_서빙고초등학교
100,3336_서빙고초등학교,178_서빙고역
100,178_서빙고역,3225_서빙고신동아아파트
100,3225_서빙고신동아아파트,3223_이촌동현대아파트
100,3223_이촌동현대아파트,3221_중경고등학교.이촌동강촌아파트
100,3221_중경고등학교.이촌동강촌아파트,3219_신용산초등학교
100,3219_신용산초등학교,287_이촌역
100,287_이촌역,3215_이촌동두산위브트레지움.한강대우아파트
100,3215_이촌동두산위브트레지움.한강대우아파트,3001_한강대교북단.LG유플러스
100,3001_한강대교북단.LG유플러스,224_신용산역
100,224_신용산역,3005_용산우체국
100,3005_용산우체국,160_삼각지역
100,160_삼각지역,206_숙대입구역
100,206_숙대입구역,3011_갈월동
100,3011_갈월동,181_서울역
100,181_서울역,2219_남대문시장앞.이회영활동터
100,2219_남대문시장앞.이회영활동터,2142_롯데영프라자
100,2142_롯데영프라자,2156_을지로입구.로얄호텔
100,2156_을지로입구.로얄호텔,2159_을지로2가.파인에비뉴
100,2159_을지로2가.파인에비뉴,2161_을지로3가
100,2161_을지로3가,2163_을지로4가.베스트웨스턴국도
100,2163_을지로4가.베스트웨스턴국도,2166_을지로5가.중부시장
100,2166_을지로5가.중부시장,2169_을지로6가.국립중앙의료원
100,2169_을지로6가.국립중앙의료원,2170_광희동
100,2170_광희동,2206_퇴계로6가
100,2206_퇴계로6가,2168_을지로5가.훈련원종합체육관
100,2168_을지로5가.훈련원종합체육관,2167_방산시장.훈련원종합체육관
100,2167_방산시장.훈련원종합체육관,1212_종로5가
100,1212_종로5가,1205_종로5가.효제초등학교
100,1205_종로5가.효제초등학교,1204_종로5가.효제동.김상옥의거터
100,1204_종로5가.효제동.김상옥의거터,1219_방송통신대.이화장
100,1219_방송통신대.이화장,345_혜화역
100,345_혜화역,8010_삼선교.한성대학교.조소앙활동터
100,8010_삼선교.한성대학교.조소앙활동터,8008_돈암사거리.성신여대입구
100,8008_돈암사거리.성신여대입구,8006_미아리고개.미아리예술극장
100,8006_미아리고개.미아리예술극장,8004_길음뉴타운
100,8004_길음뉴타운,8002_길음2동주민센터
100,8002_길음2동주민센터,8101_숭곡초교입구
100,8101_숭곡초교입구,8102_창문여고
100,8102_창문여고,8103_동방고개
100,8103_동방고개,8104_장위동그린빌아파트
100,8104_장위동그린빌아파트,8105_북서울꿈의숲
100,8105_북서울꿈의숲,8106_장월초등학교
100,8106_장월초등학교,11337_롯데캐슬루나아파트
100,11337_롯데캐슬루나아파트,11338_인덕대앞
100,11338_인덕대앞,11340_월계보건지소
100,11340_월계보건지소,11453_하계시영아파트
100,11453_하계시영아파트,11455_하계장미아파트
100,11455_하계장미아파트,11425_하계미성아파트.을지병원
100,11425_하계미성아파트.을지병원,11429_한성여객종점
100,11429_한성여객종점,11433_대진고등학교
100,11433_대진고등학교,11435_서울온천
100,11435_서울온천,11437_노원경찰서.혜성여고
100,11437_노원경찰서.혜성여고,11442_하계현대아파트
100,11442_하계현대아파트,11358_롯데마트
100,11358_롯데마트,11377_상명초등학교
100,11377_상명초등학교,11375_중계건영2차아파트
100,11375_중계건영2차아파트,308_중계역
100,308_중계역,11444_하계한신청구아파트
100,11444_하계한신청구아파트,11489_한성여객종점
101,153_북한산우이역,9103_우이동성원아파트
101,9103_우이동성원아파트,10200_쌍문동청한빌라
101,10200_쌍문동청한빌라,10202_쌍문동우이빌라
101,10202_쌍문동우이빌라,10204_초당초등학교
101,10204_초당초등학교,10206_방학동우성아파트
101,10206_방학동우성아파트,10747_청구아파트
101,10747_청구아파트,10210_쌍문동성원아파트
101,10210_쌍문동성원아파트,10212_쌍문동한양.현대아파트
101,10212_쌍문동한양.현대아파트,10214_쌍문동삼익금호1차아파트
101,10214_쌍문동삼익금호1차아파트,10216_도봉구보건소앞
101,10216_도봉구보건소앞,10013_도봉구민회관.도봉문화원
101,10013_도봉구민회관.도봉문화원,231_쌍문역
101,231_쌍문역,10017_우이1교앞
101,10017_우이1교앞,9001_수유3동우체국
101,9001_수유3동우체국,204_수유역
101,204_수유역,9005_수유시장.성신여대미아캠퍼스앞
101,9005_수유시장.성신여대미아캠퍼스앞,134_미아역
101,134_미아역,9009_도봉세무서.성북시장
101,9009_도봉세무서.성북시장,133_미아사거리역
101,133_미아사거리역,8148_성가복지병원
101,8148_성가복지병원,8150_종암사거리입구
101,8150_종암사거리입구,8152_종암동주민센터
101,8152_종암동주민센터,8154_숭례초교
101,8154_숭례초교,8156_고대앞
101,8156_고대앞,8157_우신향병원
101,8157_우신향병원,8158_안암오거리
101,8158_안암오거리,8159_대광초교
101,8159_대광초교,1243_신설동로터리
101,1243_신설동로터리,1044_동묘앞
101,1044_동묘앞,1037_동대문
101,1037_동대문,1022_종로6가.동대문종합시장
101,1022_종로6가.동대문종합시장,1020_종로5가.광장시장
101,1020_종로5가.광장시장,1018_종로4가.종묘
101,1018_종로4가.종묘,1016_종로3가.탑골공원
101,1016_종로3가.탑골공원,1014_종로2가
101,1014_종로2가,1012_종로1가
101,1012_종로1가,1010_광화문
101,1010_광화문,1123_서울역사박물관.경교장.강북삼성병원
101,1123_서울역사박물관.경교장.강북삼성병원,1165_강북삼성병원
101,1165_강북삼성병원,13252_서대문경찰서
101,13252_서대문경찰서,2133_서소문
101,2133_서소문,2137_서울신문사
101,2137_서울신문사,1011_종로1가
101,1011_종로1가,1013_종로2가
101,1013_종로2가,1015_종로3가.탑골공원
101,1015_종로3가.탑골공원,1017_종로4가.종묘
101,1017_종로4가.종묘,1019_종로5가.광장시장
101,1019_종로5가.광장시장,1021_종로6가.동대문종합시장
101,1021_종로6가.동대문종합시장,99_동대문역
101,99_동대문역,1041_동묘앞
101,1041_동묘앞,223_신설동역
101,223_신설동역,6178_대광고등학교앞
101,6178_대광고등학교앞,6177_안암오거리
101,6177_안암오거리,6176_우신향병원
101,6176_우신향병원,6175_고려대학교앞
101,6175_고려대학교앞,8155_숭례초등학교
101,8155_숭례초등학교,8153_종암동주민센터
101,8153_종암동주민센터,8151_종암사거리입구
101,8151_종암사거리입구,8149_성가복지병원
101,8149_성가복지병원,133_미아사거리역
101,133_미아사거리역,9010_도봉세무서.성북시장
101,9010_도봉세무서.성북시장,134_미아역
101,134_미아역,9006_수유시장.성신여대미아캠퍼스앞
101,9006_수유시장.성신여대미아캠퍼스앞,204_수유역
101,204_수유역,9002_수유3동우체국
101,9002_수유3동우체국,10127_우이1교앞
101,10127_우이1교앞,231_쌍문역
101,231_쌍문역,10119_함석헌기념관.정의여중고
101,10119_함석헌기념관.정의여중고,10121_도봉구민회관.도봉문화원
101,10121_도봉구민회관.도봉문화원,10217_도봉구보건소앞
101,10217_도봉구보건소앞,10215_쌍문동금호1차삼익아파트
101,10215_쌍문동금호1차삼익아파트,10213_쌍문동현대.한양아파트
101,10213_쌍문동현대.한양아파트,10211_쌍문동성원아파트
101,10211_쌍문동성원아파트,10564_청구아파트
101,10564_청구아파트,10207_방학동우성.청구아파트
101,10207_방학동우성.청구아파트,10205_초당초등학교
101,10205_초당초등학교,10203_쌍문동우이빌라
101,10203_쌍문동우이빌라,10201_쌍문동청한빌라
101,10201_쌍문동청한빌라,10325_동아운수앞
