LaneNo,source,target
1,90_덕정역,89_덕계역
1,63_남영역,272_용산역
1,272_용산역,68_노량진역
1,68_노량진역,84_대방역
1,84_대방역,210_신길역
1,210_신길역,260_영등포역
1,260_영등포역,217_신도림역
1,217_신도림역,40_구로역
1,40_구로역,45_구일역
1,45_구일역,16_개봉역
1,262_오류동역,265_온수역
1,265_온수역,253_역곡역
1,181_서울역,63_남영역
1,253_역곡역,193_소사역
1,150_부천역,310_중동역
1,310_중동역,196_송내역
1,40_구로역,4_가산디지털단지역
1,4_가산디지털단지역,97_독산역
1,97_독산역,52_금천구청역
1,52_금천구청역,184_석수역
1,184_석수역,32_관악역
1,32_관악역,236_안양역
1,236_안양역,126_명학역
1,126_명학역,51_금정역
1,51_금정역,49_군포역
1,193_소사역,150_부천역
1,208_시청역,181_서울역
1,16_개봉역,262_오류동역
1,304_종로3가역,303_종각역
1,89_덕계역,245_양주역
1,303_종각역,208_시청역
1,72_녹양역,2_가능역
1,2_가능역,284_의정부역
1,284_의정부역,354_회룡역
1,354_회룡역,120_망월사역
1,120_망월사역,93_도봉산역
1,93_도봉산역,94_도봉역
1,94_도봉역,139_방학역
1,139_방학역,317_창동역
1,317_창동역,73_녹천역
1,73_녹천역,276_월계역
1,245_양주역,72_녹양역
1,35_광운대역,183_석계역
1,276_월계역,35_광운대역
1,99_동대문역,305_종로5가역
1,102_동묘앞역,99_동대문역
1,223_신설동역,102_동묘앞역
1,302_제기동역,223_신설동역
1,305_종로5가역,304_종로3가역
1,353_회기역,325_청량리역
1,268_외대앞역,353_회기역
1,225_신이문역,268_외대앞역
1,183_석계역,225_신이문역
1,325_청량리역,302_제기동역
2,217_신도림역,92_도림천역
2,346_홍대입구역,228_신촌역
2,92_도림천역,246_양천구청역
2,246_양천구청역,226_신정네거리역
2,226_신정네거리역,57_까치산역
2,217_신도림역,131_문래역
2,131_문래역,258_영등포구청역
2,258_영등포구청역,79_당산역
2,79_당산역,342_합정역
2,342_합정역,346_홍대입구역
2,228_신촌역,285_이대역
2,279_을지로3가역,280_을지로4가역
2,233_아현역,329_충정로역
2,329_충정로역,208_시청역
2,208_시청역,281_을지로입구역
2,281_을지로입구역,279_을지로3가역
2,280_을지로4가역,100_동대문역사문화공원역
2,100_동대문역사문화공원역,214_신당역
2,214_신당역,171_상왕십리역
2,171_상왕십리역,267_왕십리역
2,267_왕십리역,340_한양대역
2,270_용두역,223_신설동역
2,285_이대역,233_아현역
2,213_신답역,270_용두역
2,340_한양대역,108_뚝섬역
2,191_성수역,269_용답역
2,269_용답역,213_신답역
2,191_성수역,21_건대입구역
2,44_구의역,14_강변역
2,14_강변역,291_잠실나루역
2,291_잠실나루역,293_잠실역
2,293_잠실역,292_잠실새내역
2,292_잠실새내역,306_종합운동장역
2,306_종합운동장역,161_삼성역
2,161_삼성역,187_선릉역
2,187_선릉역,254_역삼역
2,254_역삼역,10_강남역
2,21_건대입구역,44_구의역
2,38_교대역,182_서초역
2,10_강남역,38_교대역
2,82_대림역,217_신도림역
2,216_신대방역,39_구로디지털단지역
2,218_신림역,216_신대방역
2,148_봉천역,218_신림역
2,39_구로디지털단지역,82_대림역
2,59_낙성대역,179_서울대입구역
2,156_사당역,59_낙성대역
2,137_방배역,156_사당역
2,182_서초역,137_방배역
2,179_서울대입구역,148_봉천역
3,101_동대입구역,241_약수역
3,27_고속터미널역,38_교대역
3,241_약수역,53_금호역
3,53_금호역,264_옥수역
3,264_옥수역,239_압구정역
3,239_압구정역,222_신사역
3,222_신사역,294_잠원역
3,294_잠원역,27_고속터미널역
3,38_교대역,61_남부터미널역
3,335_학여울역,85_대청역
3,244_양재역,121_매봉역
3,121_매봉역,91_도곡역
3,91_도곡역,86_대치역
3,86_대치역,335_학여울역
3,290_일원역,203_수서역
3,203_수서역,3_가락시장역
3,3_가락시장역,24_경찰병원역
3,24_경찰병원역,261_오금역
3,328_충무로역,101_동대입구역
3,61_남부터미널역,244_양재역
3,279_을지로3가역,328_충무로역
3,85_대청역,290_일원역
3,234_안국역,304_종로3가역
3,87_대화역,307_주엽역
3,304_종로3가역,279_을지로3가역
3,300_정발산역,112_마두역
3,112_마두역,141_백석역
3,141_백석역,80_대곡역
