LaneNo,source,target,type,weight
1,90_덕정역,89_덕계역,subway,0.0027005517826825
1,63_남영역,272_용산역,subway,0.072167869269949
1,272_용산역,68_노량진역,subway,0.0535462648556876
1,68_노량진역,84_대방역,subway,0.024140492359932
1,84_대방역,210_신길역,subway,0.0398758488964346
1,210_신길역,260_영등포역,subway,0.0592816213921901
1,260_영등포역,217_신도림역,subway,0.1328162139219015
1,217_신도림역,40_구로역,subway,0.1452408743633276
1,40_구로역,45_구일역,subway,0.0827228353140916
1,45_구일역,16_개봉역,subway,0.0792720713073005
1,262_오류동역,265_온수역,subway,0.0608828522920203
1,265_온수역,253_역곡역,subway,0.0500541171477079
1,181_서울역,63_남영역,subway,0.0728013582342954
1,253_역곡역,193_소사역,subway,0.0350891341256366
1,150_부천역,310_중동역,subway,0.0153087860780984
1,310_중동역,196_송내역,subway,0.0113338285229202
1,40_구로역,4_가산디지털단지역,subway,0.0603809422750424
1,4_가산디지털단지역,97_독산역,subway,0.05
1,97_독산역,52_금천구청역,subway,0.0401994906621392
1,52_금천구청역,184_석수역,subway,0.0344662563667232
1,184_석수역,32_관악역,subway,0.0310918930390492
1,32_관악역,236_안양역,subway,0.0282735568760611
1,236_안양역,126_명학역,subway,0.0212149830220713
1,126_명학역,51_금정역,subway,0.0189431239388794
1,51_금정역,49_군포역,subway,0.0021233022071307
1,193_소사역,150_부천역,subway,0.0292391765704584
1,208_시청역,181_서울역,subway,0.1949448217317487
1,16_개봉역,262_오류동역,subway,0.0671031409168081
1,304_종로3가역,303_종각역,subway,0.0941022920203735
1,89_덕계역,245_양주역,subway,0.0054223259762308
1,303_종각역,208_시청역,subway,0.1112287775891341
1,72_녹양역,2_가능역,subway,0.0126803904923599
1,2_가능역,284_의정부역,subway,0.0162913837011884
1,284_의정부역,354_회룡역,subway,0.0266171477079796
1,354_회룡역,120_망월사역,subway,0.035758701188455
1,120_망월사역,93_도봉산역,subway,0.0403936757215619
1,93_도봉산역,94_도봉역,subway,0.0497845925297113
1,94_도봉역,139_방학역,subway,0.0534263582342954
1,139_방학역,317_창동역,subway,0.0593145161290322
1,317_창동역,73_녹천역,subway,0.046051570458404
1,73_녹천역,276_월계역,subway,0.0463412563667232
1,245_양주역,72_녹양역,subway,0.0102058573853989
1,35_광운대역,183_석계역,subway,0.0223726655348047
1,276_월계역,35_광운대역,subway,0.0472347198641765
1,99_동대문역,305_종로5가역,subway,0.0952483022071307
1,102_동묘앞역,99_동대문역,subway,0.0947442699490662
1,223_신설동역,102_동묘앞역,subway,0.0945681239388794
1,302_제기동역,223_신설동역,subway,0.0488242784380305
1,305_종로5가역,304_종로3가역,subway,0.1038126061120543
1,353_회기역,325_청량리역,subway,0.1125519949066213
1,268_외대앞역,353_회기역,subway,0.0485250424448217
1,225_신이문역,268_외대앞역,subway,0.0480093378607809
1,183_석계역,225_신이문역,subway,0.0483542020373514
1,325_청량리역,302_제기동역,subway,0.0472442699490662
2,217_신도림역,92_도림천역,subway,0.0556297348484848
2,346_홍대입구역,228_신촌역,subway,0.1743501420454545
2,92_도림천역,246_양천구청역,subway,0.0550568181818181
2,246_양천구청역,226_신정네거리역,subway,0.0494472064393939
2,226_신정네거리역,57_까치산역,subway,0.0428752367424242
2,217_신도림역,131_문래역,subway,0.2599573863636363
2,131_문래역,258_영등포구청역,subway,0.2570738636363636
2,258_영등포구청역,79_당산역,subway,0.2590364583333333
2,79_당산역,342_합정역,subway,0.2511647727272727
2,342_합정역,346_홍대입구역,subway,0.2790033143939394
2,228_신촌역,285_이대역,subway,0.0369957386363636
2,279_을지로3가역,280_을지로4가역,subway,0.0397928503787878
2,233_아현역,329_충정로역,subway,0.0238411458333333
2,329_충정로역,208_시청역,subway,0.0265234375
2,208_시청역,281_을지로입구역,subway,0.0718702651515151
2,281_을지로입구역,279_을지로3가역,subway,0.0616560132575757
2,280_을지로4가역,100_동대문역사문화공원역,subway,0.0774005681818181
2,100_동대문역사문화공원역,214_신당역,subway,0.1079758522727272
2,214_신당역,171_상왕십리역,subway,0.0924538352272727
